order_id,order_date,customer_id,product,quantity,price,year,month
1,2024-01-03,C001,Monitor,1,12000,2024,1
2,2024-01-04,C004,Headphones,1,2500,2024,1
3,2024-01-03,C003,Keyboard,1,1500,2024,1
4,2024-01-04,C004,Headphones,1,2500,2024,1
5,2024-01-04,C004,Headphones,1,2500,2024,1
6,2024-01-02,C002,Mouse,2,800,2024,1
7,2024-01-03,C003,Keyboard,1,1500,2024,1
8,2024-01-03,C003,Keyboard,1,1500,2024,1
9,2024-01-03,C003,Keyboard,1,1500,2024,1
10,2024-01-04,C004,Headphones,1,2500,2024,1
11,2024-01-03,C001,Monitor,1,12000,2024,1
12,2024-01-03,C003,Keyboard,1,1500,2024,1
13,2024-01-04,C004,Headphones,1,2500,2024,1
14,2024-01-02,C002,Mouse,2,800,2024,1
15,2024-01-03,C001,Monitor,1,12000,2024,1
16,2024-01-02,C002,Mouse,2,800,2024,1
17,2024-01-03,C001,Monitor,1,12000,2024,1
18,2024-01-04,C004,Headphones,1,2500,2024,1
19,2024-01-01,C001,Laptop,1,55000,2024,1
20,2024-01-03,C001,Monitor,1,12000,2024,1
21,2024-01-02,C002,Mouse,2,800,2024,1
22,2024-01-04,C004,Headphones,1,2500,2024,1
23,2024-01-03,C001,Monitor,1,12000,2024,1
24,2024-01-01,C001,Laptop,1,55000,2024,1
25,2024-01-01,C001,Laptop,1,55000,2024,1
26,2024-01-03,C003,Keyboard,1,1500,2024,1
27,2024-01-03,C003,Keyboard,1,1500,2024,1
28,2024-01-02,C002,Mouse,2,800,2024,1
29,2024-01-03,C001,Monitor,1,12000,2024,1
30,2024-01-03,C001,Monitor,1,12000,2024,1
31,2024-01-03,C003,Keyboard,1,1500,2024,1
32,2024-01-03,C001,Monitor,1,12000,2024,1
33,2024-01-03,C001,Monitor,1,12000,2024,1
34,2024-01-01,C001,Laptop,1,55000,2024,1
35,2024-01-03,C003,Keyboard,1,1500,2024,1
36,2024-01-04,C004,Headphones,1,2500,2024,1
37,2024-01-03,C003,Keyboard,1,1500,2024,1
38,2024-01-04,C004,Headphones,1,2500,2024,1
39,2024-01-01,C001,Laptop,1,55000,2024,1
40,2024-01-02,C002,Mouse,2,800,2024,1
41,2024-01-03,C001,Monitor,1,12000,2024,1
42,2024-01-01,C001,Laptop,1,55000,2024,1
43,2024-01-03,C001,Monitor,1,12000,2024,1
44,2024-01-02,C002,Mouse,2,800,2024,1
45,2024-01-02,C002,Mouse,2,800,2024,1
46,2024-01-01,C001,Laptop,1,55000,2024,1
47,2024-01-02,C002,Mouse,2,800,2024,1
48,2024-01-04,C004,Headphones,1,2500,2024,1
49,2024-01-02,C002,Mouse,2,800,2024,1
50,2024-01-03,C001,Monitor,1,12000,2024,1
51,2024-01-03,C001,Monitor,1,12000,2024,1
52,2024-01-03,C001,Monitor,1,12000,2024,1
53,2024-01-03,C001,Monitor,1,12000,2024,1
54,2024-01-04,C004,Headphones,1,2500,2024,1
55,2024-01-03,C003,Keyboard,1,1500,2024,1
56,2024-01-01,C001,Laptop,1,55000,2024,1
57,2024-01-03,C001,Monitor,1,12000,2024,1
58,2024-01-02,C002,Mouse,2,800,2024,1
59,2024-01-03,C001,Monitor,1,12000,2024,1
60,2024-01-02,C002,Mouse,2,800,2024,1
61,2024-01-02,C002,Mouse,2,800,2024,1
62,2024-01-03,C001,Monitor,1,12000,2024,1
63,2024-01-04,C004,Headphones,1,2500,2024,1
64,2024-01-02,C002,Mouse,2,800,2024,1
65,2024-01-02,C002,Mouse,2,800,2024,1
66,2024-01-03,C001,Monitor,1,12000,2024,1
67,2024-01-02,C002,Mouse,2,800,2024,1
68,2024-01-02,C002,Mouse,2,800,2024,1
69,2024-01-03,C001,Monitor,1,12000,2024,1
70,2024-01-03,C001,Monitor,1,12000,2024,1
71,2024-01-01,C001,Laptop,1,55000,2024,1
72,2024-01-04,C004,Headphones,1,2500,2024,1
73,2024-01-04,C004,Headphones,1,2500,2024,1
74,2024-01-02,C002,Mouse,2,800,2024,1
75,2024-01-04,C004,Headphones,1,2500,2024,1
76,2024-01-02,C002,Mouse,2,800,2024,1
77,2024-01-01,C001,Laptop,1,55000,2024,1
78,2024-01-03,C001,Monitor,1,12000,2024,1
79,2024-01-03,C001,Monitor,1,12000,2024,1
80,2024-01-03,C001,Monitor,1,12000,2024,1
81,2024-01-04,C004,Headphones,1,2500,2024,1
82,2024-01-01,C001,Laptop,1,55000,2024,1
83,2024-01-04,C004,Headphones,1,2500,2024,1
84,2024-01-04,C004,Headphones,1,2500,2024,1
85,2024-01-01,C001,Laptop,1,55000,2024,1
86,2024-01-01,C001,Laptop,1,55000,2024,1
87,2024-01-01,C001,Laptop,1,55000,2024,1
88,2024-01-01,C001,Laptop,1,55000,2024,1
89,2024-01-03,C001,Monitor,1,12000,2024,1
90,2024-01-03,C003,Keyboard,1,1500,2024,1
91,2024-01-03,C003,Keyboard,1,1500,2024,1
92,2024-01-01,C001,Laptop,1,55000,2024,1
93,2024-01-03,C003,Keyboard,1,1500,2024,1
94,2024-01-03,C003,Keyboard,1,1500,2024,1
95,2024-01-01,C001,Laptop,1,55000,2024,1
96,2024-01-03,C003,Keyboard,1,1500,2024,1
97,2024-01-04,C004,Headphones,1,2500,2024,1
98,2024-01-02,C002,Mouse,2,800,2024,1
99,2024-01-02,C002,Mouse,2,800,2024,1
100,2024-01-01,C001,Laptop,1,55000,2024,1
101,2024-01-03,C001,Monitor,1,12000,2024,1
102,2024-01-01,C001,Laptop,1,55000,2024,1
103,2024-01-03,C001,Monitor,1,12000,2024,1
104,2024-01-02,C002,Mouse,2,800,2024,1
105,2024-01-01,C001,Laptop,1,55000,2024,1
106,2024-01-04,C004,Headphones,1,2500,2024,1
107,2024-01-03,C003,Keyboard,1,1500,2024,1
